The parameter values used or converged in the simulated result:
Initial LAI  =  0.019635
Parameter a =   0.60212
Parameter b = 0.0051246
Parameter c = 0.00044375

Estimated grain yield (kg/ha) :
 7849.8

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
141   0    0.0    nan   0.05     0.0   0.15   0.00   0.00    0.0
142   1    7.1    nan   0.05     0.4   0.28   1.52   0.72    0.0
143   2   16.5    nan   0.06     1.1   0.32   1.40   0.61    0.0
144   3   28.8    nan   0.07     1.9   0.39   1.40   0.70    0.0
145   4   39.0    nan   0.08     3.0   0.48   1.22   0.92    0.0
146   5   47.0    nan   0.09     4.2   0.38   1.50   0.70    0.0
147   6   56.3    nan   0.10     5.2   0.42   0.97   0.65    0.0
148   7   64.6    nan   0.12     6.3   0.61   1.62   0.52    0.0
149   8   72.8    nan   0.14     7.8   1.08   1.70   0.35    0.0
150   9   82.3    nan   0.17    10.6   1.37   1.49   0.51    0.0
151  10   94.6    nan   0.20    14.2   1.64   1.14   0.66    0.0
152  11  108.2    nan   0.23    18.5   1.93   1.71   0.52    0.0
153  12  121.5    nan   0.27    23.5   1.82   1.86   0.77    0.0
154  13  135.2    nan   0.31    28.2   0.50   1.97   1.24    0.0
155  14  145.1    nan   0.35    29.5   3.01   1.50   1.28    0.0
156  15  155.8    nan   0.40    37.3   2.72   1.56   1.43    0.0
157  16  166.8    nan   0.45    44.3   3.43   2.35   0.68    0.0
158  17  179.8    nan   0.50    53.2   3.97   1.42   0.65    0.0
159  18  193.7   0.61   0.56    63.5   4.98   2.66   0.86    0.0
160  19  209.0    nan   0.62    76.4   5.67   2.75   0.78    0.0
161  20  225.1    nan   0.68    91.1   2.66   1.60   1.25    0.0
162  21  238.9    nan   0.74    98.0   5.43   1.30   1.16    0.0
163  22  253.7    nan   0.81   112.1   5.47   1.13   0.82    0.0
164  23  269.5    nan   0.87   126.3   6.86   3.16   0.81    0.0
165  24  284.6    nan   0.94   144.0   5.75   3.45   1.29    0.0
166  25  297.8    nan   1.00   159.0   1.81   1.42   1.46    0.0
167  26  308.8    nan   1.07   163.7   7.54   3.69   0.80    0.0
168  27  322.7    nan   1.13   183.2   3.46   2.36   1.10    0.0
169  28  335.5    nan   1.19   192.2   3.53   4.07   1.02    0.0
170  29  346.8    nan   1.26   201.3   8.29   3.15   0.62    0.0
171  30  360.7    nan   1.32   222.8   9.65   3.62   1.22    0.0
172  31  375.2    nan   1.38   247.8  11.30   1.86   1.47    0.0
173  32  391.3    nan   1.44   277.1   9.53   4.86   1.02    0.0
174  33  405.9    nan   1.50   301.8   6.20   4.93   0.80    0.0
175  34  420.1    nan   1.55   317.9   6.51   5.15   0.96    0.0
176  35  433.8    nan   1.61   334.8   7.47   4.07   0.88    0.0
177  36  447.9    nan   1.66   354.1   7.02   2.88   1.16    0.0
178  37  462.6   1.59   1.70   372.3   8.20   4.92   1.31    0.0
179  38  477.4    nan   1.74   393.6   6.50   5.64   1.53    0.0
180  39  491.8    nan   1.78   410.4   7.94   5.72   0.76    0.0
181  40  506.3    nan   1.81   431.0   6.95   5.53   1.22    0.0
182  41  521.0    nan   1.84   449.0  10.47   4.23   1.46    0.0
183  42  536.8    nan   1.87   476.1   7.63   5.50   1.36    0.0
184  43  553.6    nan   1.89   495.9   2.48   5.87   1.79    0.0
185  44  567.5    nan   1.91   502.4   3.95   3.62   2.12    0.0
186  45  581.2    nan   1.92   512.6   2.31   3.38   1.65    0.0
187  46  592.8    nan   1.93   518.6   1.46   5.27   1.18    0.0
188  47  605.8    nan   1.94   522.4   3.10   3.21   1.13    0.0
189  48  621.7    nan   1.94   530.4   5.19   4.09   0.53    0.0
190  49  638.2    nan   1.94   543.8   7.89   6.17   0.70    0.5
191  50  655.1    nan   1.95   564.3   8.51   5.70   1.49    2.8
192  51  672.6    nan   1.95   586.3   7.84   6.07   1.92    6.9
193  52  690.1    nan   1.95   606.6   9.39   5.82   2.46   12.1
194  53  708.7    nan   1.95   631.0   9.87   5.74   2.15   20.0
195  54  727.6   2.10   1.95   656.6   7.17   2.71   1.32   29.8
196  55  746.3    nan   1.95   675.2  11.50   1.53   1.19   37.9
197  56  765.0    nan   1.95   705.0   7.96   5.59   0.79   52.5
198  57  782.8    nan   1.95   725.6  10.31   6.06   1.75   63.5
199  58  799.3    nan   1.94   752.3   9.77   2.94   1.83   78.7
200  59  817.1    nan   1.94   777.7   9.20   1.86   1.30   94.0
201  60  835.4    nan   1.94   801.5   7.74   5.60   1.84  109.2
202  61  853.2    nan   1.94   821.5  11.58   6.15   1.23  122.6
203  62  872.4    nan   1.94   851.6  10.43   2.63   1.71  143.6
204  63  890.7   2.14   1.94   878.6   9.90   6.39   1.02  163.2
205  64  909.7    nan   1.94   904.2  10.12   5.43   2.35  182.4
206  65  929.0    nan   1.94   930.5  10.11   4.96   2.02  202.7
207  66  948.7    nan   1.94   956.7   8.96   6.39   1.57  223.5
208  67  967.5    nan   1.94   979.9   8.83   6.16   1.95  242.3
209  68  986.1   2.05   1.94  1002.8   8.48   6.53   1.81  261.2
210  69 1005.4    nan   1.94  1024.8   9.18   6.05   2.44  279.7
211  70 1025.2    nan   1.94  1048.6   8.87   2.93   2.40  300.1
212  71 1043.6    nan   1.94  1071.6  10.33   6.51   1.35  320.0
213  72 1063.2    nan   1.94  1098.3   7.15   6.53   2.10  343.5
214  73 1082.4    nan   1.94  1116.9   5.61   5.95   2.06  360.0
215  74 1099.8    nan   1.94  1131.4   7.55   6.64   2.56  373.0
216  75 1117.1    nan   1.94  1151.0  10.19   6.59   2.22  390.7
217  76 1136.0   2.07   1.94  1177.4   7.94   6.72   2.61  414.8
218  77 1155.0    nan   1.94  1198.0  10.68   6.22   2.74  433.7
219  78 1172.3    nan   1.94  1225.7  11.21   1.99   2.54  459.3
220  79 1190.8    nan   1.94  1254.7   4.50   5.91   1.60  486.2
221  80 1207.2    nan   1.94  1266.4  11.47   7.02   1.43  497.1
222  81 1225.0    nan   1.94  1296.1   8.87   6.84   1.77  525.0
223  82 1243.5    nan   1.94  1319.1   7.85   5.48   2.44  546.6
224  83 1260.2    nan   1.94  1339.4   6.31   6.98   2.28  565.9
225  84 1276.8    nan   1.94  1355.8   5.03   6.70   3.00  581.4
226  85 1293.0    nan   1.94  1368.8   6.84   2.16   3.41  593.7
227  86 1308.0    nan   1.94  1386.6   7.28   5.22   1.79  610.6
228  87 1324.3   1.63   1.94  1405.4   7.28   6.22   2.00  628.6
229  88 1340.1    nan   1.94  1424.3  10.81   6.77   2.24  646.6
230  89 1355.7    nan   1.93  1452.3   6.04   6.71   2.82  673.4
231  90 1370.1    nan   1.93  1468.0   6.79   5.48   3.32  688.4
232  91 1384.3    nan   1.93  1485.6   9.48   5.10   2.92  705.2
233  92 1399.2    nan   1.93  1510.1   1.68   1.85   2.60  728.8
234  93 1413.8    nan   1.93  1514.5   8.07   1.90   1.93  732.9
235  94 1429.9    nan   1.93  1535.4   0.00   7.39   1.34  753.0
236  95 1444.3    nan   1.93  1535.4   0.00   6.74   2.72  753.0
237  96 1459.5    nan   1.93  1535.4   3.70   7.30   2.81  753.0
238  97 1475.5    nan   1.93  1545.0   9.31   7.34   3.36  762.1
239  98 1492.7    nan   1.93  1569.1   3.35   7.14   2.60  785.0
