The parameter values used or converged in the simulated result:
Initial LAI  =  0.038183
Parameter a =       1.0
Parameter b = 0.0029058
Parameter c = 0.0020978

Estimated grain yield (kg/ha) :
 5537.3

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
141   0    0.0    nan   0.08     0.0   0.29   0.00   0.00    0.0
142   1    7.1    nan   0.08     0.7   0.52   1.56   0.72    0.0
143   2   16.5    nan   0.09     2.1   0.57   1.45   0.61    0.0
144   3   28.8    nan   0.10     3.6   0.66   1.45   0.70    0.0
145   4   39.0    nan   0.11     5.3   0.78   1.26   0.92    0.0
146   5   47.0    nan   0.13     7.3   0.59   1.57   0.70    0.0
147   6   56.3    nan   0.14     8.8   0.63   1.01   0.65    0.0
148   7   64.6    nan   0.16    10.5   0.90   1.70   0.52    0.0
149   8   72.8    nan   0.19    12.8   1.54   1.78   0.35    0.0
150   9   82.3    nan   0.22    16.8   1.88   1.57   0.51    0.0
151  10   94.6    nan   0.25    21.7   2.17   1.19   0.66    0.0
152  11  108.2    nan   0.28    27.3   2.47   1.81   0.52    0.0
153  12  121.5    nan   0.32    33.7   2.26   1.97   0.77    0.0
154  13  135.2    nan   0.37    39.5   0.60   2.09   1.24    0.0
155  14  145.1    nan   0.41    41.1   3.62   1.58   1.28    0.0
156  15  155.8    nan   0.46    50.4   3.19   1.64   1.43    0.0
157  16  166.8    nan   0.52    58.7   3.95   2.48   0.68    0.0
158  17  179.8    nan   0.58    69.0   4.50   1.49   0.65    0.0
159  18  193.7   0.67   0.64    80.6   5.56   2.80   0.86    0.0
160  19  209.0    nan   0.70    95.0   6.25   2.89   0.78    0.0
161  20  225.1    nan   0.77   111.2   2.91   1.68   1.25    0.0
162  21  238.9    nan   0.84   118.8   5.90   1.36   1.16    0.0
163  22  253.7    nan   0.91   134.1   5.92   1.19   0.82    0.0
164  23  269.5    nan   0.98   149.4   7.41   3.33   0.81    0.0
165  24  284.6    nan   1.06   168.6   6.20   3.65   1.29    0.0
166  25  297.8    nan   1.13   184.7   1.95   1.50   1.46    0.0
167  26  308.8    nan   1.21   189.8   8.12   3.92   0.80    0.0
168  27  322.7    nan   1.29   210.8   3.73   2.51   1.10    0.0
169  28  335.5    nan   1.37   220.5   3.81   4.36   1.02    0.0
170  29  346.8    nan   1.45   230.4   8.95   3.37   0.62    0.0
171  30  360.7    nan   1.53   253.5  10.45   3.91   1.22    0.0
172  31  375.2    nan   1.61   280.6  12.27   2.01   1.47    0.0
173  32  391.3    nan   1.69   312.4  10.38   5.35   1.02    0.0
174  33  405.9    nan   1.77   339.3   6.78   5.47   0.80    0.0
175  34  420.1    nan   1.85   356.9   7.12   5.74   0.96    0.0
176  35  433.8    nan   1.93   375.4   8.19   4.54   0.88    0.0
177  36  447.9    nan   2.01   396.6   7.71   3.23   1.16    0.0
178  37  462.6   2.32   2.08   416.6   9.03   5.59   1.31    0.0
179  38  477.4    nan   2.14   440.0   7.17   6.47   1.53    0.0
180  39  491.8    nan   2.20   458.6   8.78   6.60   0.76    0.0
181  40  506.3    nan   2.26   481.3   7.70   6.42   1.22    0.0
182  41  521.0    nan   2.31   501.3  11.62   4.92   1.46    0.0
183  42  536.8    nan   2.35   531.4   8.49   6.49   1.36    0.0
184  43  553.6    nan   2.39   553.4   2.79   7.07   1.79    0.0
185  44  567.5    nan   2.42   560.6   4.43   4.31   2.12    0.0
186  45  581.2    nan   2.44   572.1   2.59   4.02   1.65    0.0
187  46  592.8    nan   2.46   578.8   1.64   6.30   1.18    0.0
188  47  605.8    nan   2.47   583.1   3.48   3.80   1.13    0.0
189  48  621.7    nan   2.48   592.1   5.81   4.86   0.53    0.0
190  49  638.2    nan   2.48   607.2   8.83   7.37   0.70    0.0
