The parameter values used or converged in the simulated result:
Initial LAI  = 0.0089326
Parameter a =   0.18215
Parameter b = 0.0017281
Parameter c =   0.00125

Estimated grain yield (kg/ha) :
 6967.1

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
149   0    0.0    nan   0.02     0.0   0.05   0.00   0.00    0.0
150   1    7.5    nan   0.02     0.1   0.05   1.36   0.72    0.0
151   2   17.8    nan   0.02     0.3   0.06   1.25   0.61    0.0
152   3   29.4    nan   0.02     0.4   0.07   1.24   0.70    0.0
153   4   40.7    nan   0.02     0.6   0.06   1.07   0.92    0.0
154   5   52.4    nan   0.02     0.8   0.02   1.30   0.70    0.0
155   6   60.3    nan   0.03     0.8   0.10   0.84   0.65    0.0
156   7   69.0    nan   0.03     1.1   0.09   1.37   0.52    0.0
157   8   78.0    nan   0.03     1.3   0.11   1.42   0.35    0.0
158   9   89.0    nan   0.04     1.6   0.13   1.22   0.51    0.0
159  10  100.8    nan   0.04     1.9   0.17   0.92   0.66    0.0
160  11  114.1    nan   0.05     2.4   0.20   1.33   0.52    0.0
161  12  128.3    nan   0.05     2.9   0.10   1.39   0.77    0.0
162  13  140.1    nan   0.06     3.2   0.20   1.42   1.24    0.0
163  14  152.9    nan   0.07     3.7   0.22   1.11   1.28    0.0
164  15  166.7    nan   0.07     4.2   0.28   1.11   1.43    0.0
165  16  179.8    nan   0.08     5.0   0.25   1.56   0.68    0.0
166  17  191.0    nan   0.09     5.6   0.08   0.96   0.65    0.0
167  18  200.0    nan   0.10     5.9   0.36   1.61   0.86    0.0
168  19  211.8    nan   0.11     6.8   0.18   1.60   0.78    0.0
169  20  222.6    nan   0.12     7.2   0.19   0.95   1.25    0.0
170  21  231.9    nan   0.14     7.7   0.46   0.78   1.16    0.0
171  22  243.8    nan   0.15     8.9   0.58   0.67   0.82    0.0
172  23  256.3    nan   0.17    10.4   0.75   1.64   0.81    0.0
173  24  270.4    nan   0.18    12.4   0.70   1.74   1.29    0.0
174  25  283.0    nan   0.20    14.2   0.50   0.79   1.46    0.0
175  26  295.2    nan   0.22    15.5   0.56   1.84   0.80    0.0
176  27  306.9    nan   0.24    16.9   0.68   1.23   1.10    0.0
177  28  319.1    nan   0.26    18.7   0.69   1.98   1.02    0.0
178  29  331.8    nan   0.28    20.5   0.86   1.60   0.62    0.0
179  30  344.5    nan   0.31    22.7   0.74   1.79   1.22    0.0
180  31  356.9    nan   0.33    24.7   0.96   0.97   1.47    0.0
181  32  369.4    nan   0.36    27.1   0.90   2.26   1.02    0.0
182  33  382.1    nan   0.38    29.5   1.45   2.28   0.80    0.0
183  34  395.9    nan   0.41    33.2   1.15   2.42   0.96    0.0
184  35  410.8    nan   0.44    36.2   0.40   1.99   0.88    0.0
185  36  422.7    nan   0.46    37.3   0.66   1.45   1.16    0.0
186  37  434.3    nan   0.49    39.0   0.40   2.34   1.31    0.0
187  38  443.9    nan   0.52    40.0   0.26   2.62   1.53    0.0
188  39  454.9    nan   0.56    40.7   0.56   2.63   0.76    0.0
189  40  468.8   0.60   0.59    42.1   0.96   2.56   1.22    0.0
190  41  483.4    nan   0.63    44.6   1.53   2.04   1.46    0.0
191  42  498.2    nan   0.68    48.6   1.77   2.62   1.36    0.0
192  43  513.8    nan   0.73    53.2   1.76   2.87   1.79    0.0
193  44  529.2    nan   0.78    57.7   2.24   1.91   2.12    0.0
194  45  545.9    nan   0.84    63.6   2.55   1.86   1.65    0.0
195  46  562.8    nan   0.90    70.2   2.00   2.93   1.18    0.0
196  47  579.5    nan   0.98    75.3   3.38   1.89   1.13    0.0
197  48  596.2    nan   1.05    84.1   2.54   2.50   0.53    0.0
198  49  611.9    nan   1.13    90.7   3.48   3.83   0.70    0.0
199  50  626.5    nan   1.22    99.7   3.54   3.72   1.49    0.0
200  51  642.2    nan   1.31   108.9   3.54   4.14   1.92    0.0
201  52  658.5   1.30   1.40   118.1   3.15   4.15   2.46    0.0
202  53  674.4    nan   1.49   126.3   4.94   4.24   2.15    0.0
203  54  691.5    nan   1.59   139.1   4.74   2.12   1.32    0.0
204  55  707.8    nan   1.68   151.3   4.75   1.25   1.19    0.0
205  56  724.8    nan   1.77   163.7   5.10   4.78   0.79    0.0
206  57  742.1    nan   1.86   176.9   5.34   5.44   1.75    0.0
207  58  759.9    nan   1.93   190.7   4.95   2.72   1.83    0.0
208  59  776.6   1.80   2.01   203.5   5.06   1.78   1.30    0.0
209  60  793.3    nan   2.07   216.7   5.02   5.68   1.84    0.0
210  61  810.6    nan   2.12   229.7   5.44   6.24   1.23    3.7
211  62  828.4    nan   2.17   243.8   5.25   2.61   1.71    0.0
212  63  844.8    nan   2.20   257.4   6.10   6.49   1.02    9.6
213  64  862.4    nan   2.23   273.2   4.22   5.47   2.35   21.1
214  65  879.5    nan   2.25   284.1   3.31   4.99   2.02   29.2
215  66  895.0    nan   2.26   292.7   4.45   6.47   1.57   35.7
216  67  910.3   2.00   2.27   304.2   6.00   6.22   1.95   44.4
217  68  927.2    nan   2.28   319.8   4.67   6.60   1.81   56.4
218  69  944.1    nan   2.28   331.9   6.27   6.09   2.44   65.8
219  70  959.5    nan   2.28   348.1   6.57   2.89   2.40   78.6
220  71  975.9    nan   2.27   365.2   2.64   6.56   1.35   92.1
221  72  990.3    nan   2.27   372.0   6.71   6.57   2.10   97.6
222  73 1006.1    nan   2.27   389.4   5.18   5.95   2.06  111.6
223  74 1022.7    nan   2.26   402.8   4.58   6.66   2.56  122.5
224  75 1037.4    nan   2.26   414.7   3.68   6.60   2.22  132.2
225  76 1051.9    nan   2.25   424.2   2.93   6.72   2.61  140.0
226  77 1066.1    nan   2.25   431.8   3.98   6.21   2.74  146.3
227  78 1079.2    nan   2.25   442.1   4.23   1.93   2.54  154.8
228  79 1093.5    nan   2.24   453.1   4.22   5.87   1.60  164.0
229  80 1107.3   2.50   2.24   464.0   6.26   7.00   1.43  173.2
230  81 1120.8    nan   2.23   480.3   3.50   6.80   1.77  186.8
231  82 1133.2    nan   2.23   489.3   3.92   5.41   2.44  194.5
232  83 1145.5    nan   2.22   499.5   5.47   6.93   2.28  203.1
233  84 1158.3    nan   2.22   513.7   0.97   6.63   3.00  215.2
