The parameter values used or converged in the simulated result:
Initial LAI  =  0.037212
Parameter a = 0.00036834
Parameter b = 6.3519e-13
Parameter c = 0.0021741

Estimated grain yield (kg/ha) :
12514.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
149   0    0.0    nan   0.07     0.0   0.19   0.00   0.00    0.0
150   1   10.6    nan   0.07     0.5   0.05   1.08   0.85    0.0
151   2   18.4    nan   0.08     0.6   0.25   1.47   0.89    0.0
152   3   28.9    nan   0.08     1.3   0.29   1.44   0.93    0.0
153   4   41.8    nan   0.09     2.0   0.35   0.80   0.87    0.0
154   5   53.4    nan   0.10     2.9   0.40   1.53   0.68    0.0
155   6   67.9    nan   0.11     3.9   0.42   1.58   0.85    0.0
156   7   80.2    nan   0.13     5.0   0.10   1.58   1.04    0.0
157   8   88.0    nan   0.14     5.3   0.35   1.36   1.03    0.0
158   9   96.8    nan   0.16     6.2   0.38   1.52   0.99    0.0
159  10  104.8    nan   0.18     7.2   0.33   1.29   1.10    0.0
160  11  112.7    nan   0.21     8.0   0.72   1.45   0.67    0.0
161  12  122.7    nan   0.23     9.9   0.67   1.15   0.61    0.0
162  13  132.9    nan   0.26    11.6   0.95   1.83   0.45    0.0
163  14  145.8    nan   0.30    14.1   0.71   1.59   0.83    0.0
164  15  157.0    nan   0.33    15.9   0.60   1.77   0.98    0.0
165  16  167.7   0.31   0.38    17.5   0.55   1.63   0.77    0.0
166  17  174.9    nan   0.43    18.9   0.95   2.10   0.78    0.0
167  18  184.9    nan   0.48    21.4   1.44   2.00   0.82    0.0
168  19  196.5    nan   0.54    25.1   1.25   2.24   1.05    0.0
169  20  208.9    nan   0.60    28.3   1.99   2.24   0.89    0.0
170  21  222.8    nan   0.68    33.5   1.89   1.73   1.09    0.0
171  22  237.2    nan   0.76    38.4   2.70   1.58   1.21    0.0
172  23  253.2    nan   0.84    45.4   2.65   1.92   1.14    0.0
173  24  269.7    nan   0.93    52.3   3.66   1.18   1.19    0.0
174  25  285.2    nan   1.03    61.8   1.44   2.92   0.75    0.0
175  26  299.4    nan   1.13    65.5   2.07   3.26   1.00    0.0
176  27  312.8    nan   1.24    70.8   3.15   3.57   0.93    0.0
177  28  327.8    nan   1.36    79.0   2.75   3.79   0.86    0.0
178  29  343.7    nan   1.49    86.2   1.96   4.03   0.79    0.0
179  30  359.0    nan   1.62    91.2   2.49   4.22   0.94    0.0
180  31  375.2    nan   1.77    97.7   2.66   2.78   1.11    0.0
181  32  390.4    nan   1.92   104.6   3.23   4.32   0.70    0.0
182  33  405.8    nan   2.08   113.0   5.91   4.92   0.91    0.0
183  34  422.4    nan   2.25   128.3   6.24   4.72   0.95    0.0
184  35  439.2    nan   2.44   144.5   5.11   4.71   0.89    0.0
185  36  456.5    nan   2.63   157.7   4.18   4.44   0.58    0.0
186  37  472.3    nan   2.83   168.5   4.89   3.43   0.94    0.0
187  38  488.9    nan   3.04   181.2   6.93   6.69   0.68    0.0
