The parameter values used or converged in the simulated result:
Initial LAI  = 0.0088088
Parameter a = 0.0002822
Parameter b =  0.011305
Parameter c =   0.00125

Estimated grain yield (kg/ha) :
 3840.8

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
 58   0    0.0    nan   0.01     0.0   0.03   0.00   0.00    0.0
 59   1    8.0    nan   0.01     0.1   0.00   1.23   0.86    0.0
 60   2   15.7    nan   0.02     0.1   0.04   1.48   1.00    0.0
 61   3   18.2    nan   0.02     0.2   0.05   1.09   0.67    0.0
 62   4   23.1    nan   0.02     0.3   0.06   1.22   0.54    0.0
 63   5   33.2    nan   0.02     0.5   0.05   1.52   0.73    0.0
 64   6   48.3    nan   0.02     0.6   0.02   0.86   0.89    0.0
 65   7   60.0    nan   0.02     0.7   0.10   0.70   0.89    0.0
 66   8   69.5    nan   0.03     0.9   0.04   0.85   0.57    0.0
 67   9   77.4    nan   0.03     1.0   0.03   0.35   0.59    0.0
 68  10   81.2    nan   0.03     1.1   0.09   0.50   0.51    0.0
 69  11   87.0    nan   0.04     1.3   0.14   0.90   0.46    0.0
 70  12   94.0    nan   0.04     1.7   0.16   1.33   0.51    0.0
 71  13  102.6    nan   0.05     2.1   0.19   1.38   0.86    0.0
 72  14  113.6    nan   0.05     2.6   0.21   1.54   1.07    0.0
 73  15  127.1    nan   0.06     3.2   0.22   0.52   1.16    0.0
 74  16  144.3    nan   0.07     3.8   0.03   1.11   0.86    0.0
 75  17  157.4    nan   0.07     3.8   0.08   1.51   0.75    0.0
 76  18  166.5    nan   0.08     4.0   0.33   1.63   1.05    0.0
 77  19  176.3    nan   0.09     4.9   0.14   1.60   1.08    0.0
 78  20  185.8    nan   0.10     5.3   0.07   1.52   1.16    0.0
 79  21  197.4    nan   0.11     5.5   0.01   1.40   1.13    0.0
 80  22  204.9    nan   0.12     5.5   0.00   1.57   1.12    0.0
 81  23  207.4    nan   0.13     5.5   0.00   1.68   0.68    0.0
 82  24  214.3    nan   0.15     5.5   0.41   1.80   0.42    0.0
